wrld_a8cb7ac9-716a-4c74-8b17-aca507b4d8ab,Rest,Cozy Adrift
wrld_e1eeb644-4965-49e6-aea3-4af3f8839858,Rest,Cubic Star
wrld_4cd2ca79-abf6-414e-b809-d4d476c4b065,Rest,A Fine Line
wrld_49a52af0-ecb1-469a-9e2e-b7217a625c4e,Rest,Luminous Hotel
wrld_38fcaa54-f0b5-4e59-b03b-1614e506483a,Rest,Container
wrld_a729bf90-1220-423a-9630-7e60851e7475,Rest,Rainy Daze
wrld_d29bb0d0-d268-42dc-8365-926f9d485505,Rest,Midnight Rooftop
wrld_faaa0b96-2934-4bd2-bb60-8508edc96b4b,Rest,Cuddle me!
wrld_3561853a-f983-423b-830c-41eecf3dbc4e,Rest,ぷらね邸 - PLANETEI
wrld_d62cd960-b332-441e-b23e-450adb95f77a,Rest,Cliffside
wrld_b7205a92-cd52-4043-bb74-2b5e6933199d,Rest,Capsule031
wrld_c507c9d4-1bc3-4a1b-aac7-d756fcecb23d,Rest,Fog night
wrld_3d335599-c9ea-4954-ae08-f3afc798dbd9,Rest,London
wrld_4bb18e16-b054-4077-882d-02ae27929ea7,Rest,Auroric Retreat
wrld_1c1a1274-c5a5-4e2b-8f70-a7b9ac43033c,Rest,Blue Hallway
wrld_320bff3b-6164-4265-9ff2-d3b1adb1dafb,Rest,Stay gold
wrld_c9430bb8-56e6-48fb-8389-2adf289330a4,Rest,Pandorras Sky Fall
wrld_3ad1211e-4c4f-4280-957a-e73d6a45cc64,Rest,雨見会館 Amemikaikan
wrld_58cb3ef3-531b-4c59-89cb-15ce035cb477,Rest,Slate
wrld_766a157f-ce37-4565-9917-3bc33e487f55,Rest,Midnight Rest
wrld_661c9e83-e1d0-489b-97a5-f415e9361e5d,Rest,City Night
wrld_053da74d-92cb-40e8-a104-19f611d8b11d,Rest,Floating Delight - Legacy
wrld_0f486431-42fe-4e71-a9cd-53b9a482d4cf,Rest,Plantanoid
wrld_1f8c7e7f-0b8d-427d-b288-eaed036374d8,Rest,BAR 泡沫-utakata-
wrld_a612e8ae-ede3-4c26-9ce8-4a23aef65782,Rest,take a bite
wrld_57915bce-a311-4e43-9acb-8cbe5f9882fb,Rest,ヒュリハウス
wrld_fe05cecd-e377-4d15-ac32-27fcb1b34d67,Rest,Breeze
wrld_2fea5f16-6523-4a54-b4d6-80ca87cbc683,Rest,EEPY
wrld_53939e6c-821e-4d45-b56b-5e305cfa8882,Rest,CyberLove | A7 サイバーラブ
wrld_8be86467-e58c-49d6-979c-5631983ba599,Rest,draft
wrld_ed4a3561-4498-4450-96ee-9b711f730586,Rest,Seclusion
wrld_7c521e97-b98a-48b3-b8fc-7c0008cf9caf,Rest,Coffee House Shanghai
wrld_f116cdc9-152e-4879-aa62-70704980249f,Rest,small room
wrld_3cfd1e68-5781-418d-927e-63ce35e2a4d9,Rest,雨夜-Rainy room-
wrld_52d40713-a83b-4c70-88cd-eb282a54c7e2,Rest,rainshelter
wrld_078d3fae-40fe-4a3d-83f3-122185c102aa,Rest,nest
wrld_85af4dd5-7ffc-498d-bd29-60fcbcda16dc,Rest,place to eat cereal
wrld_0ccafa50-b6c4-4240-b220-333470344c34,Rest,雨見るペントハウス ～Japanese-style penthouse under the rain～
wrld_5eaf7d34-cec3-4b8f-85d1-e856174fd7f8,Rest,ミリほーむ
wrld_36117d86-d759-4b9c-962e-eb25c8caebdf,Rest,Sunset Bay
